name,price,storage_gb,primary_use_case,OS,Weight,Touch,Size,Resolution,PPI,Anti Glare Screen,Processor,Brand,RAM,Generation,RAM_Type,GPU_Model,GPU_Type
HP Victus 16-d0310TX Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),72526,512,Gaming,Windows 11,2.48,No,16.1,1920x1080,137,Yes,11th Gen Intel Core i5 11400H,Hp,8,11th Gen,DDR4,GTX 1650,Dedicated
Acer Aspire 7 A715-42G UN.QAYSI.003 Gaming Laptop (AMD Ryzen 5/ 8GB/ 512GB SSD/ Win10 Home/ 4GB Graph),57990,512,Gaming,Windows 10,2.15,No,15.6,1920x1080,141,No,5th Gen AMD Ryzen 5  5500U,Acer,8,5th Gen,DDR4,GTX 1650,Dedicated
HP 250R G9 âB10M4AT Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),63990,512,General,DOS,1.74,No,15.6,1366x768,100,Yes,13th Gen Intel Core i5 1335U,Hp,16,13th Gen,DDR4,Unknown,Integrated
MSI GL63 8RC-063IN Gaming Laptop (8th Gen Ci7/ 8GB/ 1TB/ Win10 Home/ 4GB Graph),79990,1024,General,Windows 10,2.2,No,15.6,1920x1080,141,No,Core i7 (8th Gen),Msi,8,8th Gen,DDR4,Unknown,Unknown
Lenovo IdeaPad 3 14ITL6 82H701DYIN Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),39490,512,Student,Windows 11,1.85,No,14.0,1920x1080,157,Yes,11th Gen Intel Core i3 1115G4,Lenovo,8,11th Gen,DDR4,Unknown,Integrated
Acer Aspire 3 A315-21 (NX.GNVSI.011) Laptop (AMD Dual Core E2/ 4GB/ 1TB/ Win10),18999,1024,Gaming,Windows 10,2.1,No,15.6,1920x1080,141,No,AMD E2-9000,Acer,4,Unknown,DDR4,RADEON R2,Unknown
Dell Vostro 3400 Laptop (11th Gen Core i5/ 8GB/ 1TB 256GB SSD/ Win11 Home),68000,1024,General,Windows 11,1.59,No,14.0,1920x1080,157,Yes,11th Gen Intel Core i5 1135G7,Dell,8,11th Gen,DDR4,IRIS XE,Integrated
Lenovo ThinkPad T14 20W0S1HU00 Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Pro/ 2GB Graph),85499,512,General,Windows 11,1.53,No,14.0,1920x1080,157,Yes,11th Gen Intel Core i7 1165G7,Lenovo,16,11th Gen,Unknown,MX450,Dedicated
Lenovo IdeaPad Slim 3 â14IAH8 83EQ0073IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),74586,512,Business,Windows 11,1.37,No,14.0,1920x1080,157,Yes,12th Gen Intel Core i5 12450H,Lenovo,16,12th Gen,LPDDR5,Unknown,Integrated
Dell Vostro 3525 Laptop (AMD R5-5625U/ 16GB/ 512GB SSD/ Win11),55530,512,Gaming,Windows 11,1.85,No,15.6,1920x1080,141,Yes,5th Gen AMD Ryzen 5 5625U,Dell,16,5th Gen,DDR4,Unknown,Unknown
Lenovo ThinkPad X1 Carbon 20XWS1XJ00 Laptop (11th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Pro),245250,1024,Business,Windows 11,1.13,No,14.0,1920x1080,157,Yes,11th Gen Intel Core i7 1165G7,Lenovo,16,11th Gen,Unknown,UHD 620,Integrated
Lenovo IdeaPad 5 14IRH9 83KX004QIN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),79990,512,General,Windows 11,1.6,No,14.0,1920x1200,162,No,13th Gen Intel Core i5 13420H,Lenovo,16,13th Gen,LPDDR5X,Unknown,Integrated
